2025-06-04 09:33:46
Parameters:
init_smi: CC
program_name: cc
output_path: .\case3\results
pocket_file: .\case3\imatinib_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 8000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
344,0.793,0.429,4.29,CCON
345,0.733,0.448,4.14,CC=CCN
346,0.603,0.303,4.826,C=CC(NO)OC
347,0.711,0.346,4.025,C=CCC=O
348,0.797,0.472,4.105,C=CCCO
349,0.783,0.304,4.791,CCCCONN
350,0.783,0.304,4.791,CCCCONN
351,0.741,0.286,4.53,CCCONN
352,0.88,0.364,4.222,C=CCCCC
353,0.588,0.253,4.478,CC#CONN
354,0.646,0.288,4.513,N=CCCON
355,0.766,0.306,4.752,NOCCCC=O
356,0.734,0.376,4.232,CC#CCC
357,0.796,0.399,4.44,CCCOCN
358,0.814,0.534,4.51,CC(O)CCCO
359,0.843,0.37,4.2,C=CCCOC
360,0.809,0.4,4.033,C=CCC
361,0.723,0.341,4.699,CCONN
362,0.746,0.408,4.4,NCCON
363,0.709,0.239,5.045,CC(=N)ON
364,0.654,0.422,4.557,C=CC(CC)ON
365,0.842,0.487,3.965,CCC(C)O
366,0.654,0.422,4.557,C=CC(CC)ON
367,0.706,0.329,4.379,C=C(O)OOCC
368,0.714,0.37,4.348,C=CCON
369,0.59,0.398,4.977,CCC(C=N)ON
370,0.505,0.419,4.31,C1=NNOC1
371,0.71,0.505,4.597,CCC(C)ON
372,0.773,0.53,4.215,C=CCCC(C)O
373,0.63,0.254,4.343,CNNOC(C)=N
374,0.761,0.378,5.052,NCC(=O)ON
375,0.773,0.53,4.215,C=CCCC(C)O
376,0.797,0.472,4.105,C=CCCO
377,0.71,0.505,4.597,CCC(C)ON
378,0.811,0.404,3.956,CCC#N
379,0.648,0.399,5.439,CC(CC=O)ON
380,0.687,0.444,4.281,N=CCCO
381,0.811,0.404,3.956,CCC#N
382,0.717,0.475,4.443,CC(C=O)CO
383,0.677,0.318,4.46,CC(C=O)COO
384,0.74,0.391,4.355,CC(C=O)C(=O)O
385,0.6,0.343,4.426,N=CCON
386,0.794,0.468,4.3,N#CCCO
387,0.563,0.357,4.486,N=C=CCON
388,0.583,0.441,4.448,CN=C=CCO
389,0.583,0.441,4.448,CN=C=CCO
390,0.555,0.305,4.587,N#COCC=C=N
391,0.74,0.52,4.644,CC(N)=CCCN
392,0.902,0.513,4.121,CCCCO
393,0.563,0.357,4.486,N=C=CCON
394,0.697,0.475,4.483,CN=CCCO
395,0.564,0.383,4.932,CN=C=CCON
396,0.598,0.42,4.936,CN=C=C(N)CO
397,0.815,0.537,4.184,CCCC(C)O
398,0.413,0.397,4.101,C1=CCON=1
399,0.743,0.45,4.202,CC(C)C=N
400,0.703,0.524,4.474,CC(N)=CCC#N
401,0.761,0.509,4.437,CCC=C(C)N
402,0.761,0.509,4.437,CCC=C(C)N
403,0.761,0.509,4.437,CCC=C(C)N
404,0.703,0.524,4.474,CC(N)=CCC#N
405,0.761,0.509,4.437,CCC=C(C)N
406,0.761,0.509,4.437,CCC=C(C)N
407,0.791,0.414,4.263,CC=CCC
408,0.791,0.414,4.263,CC=CCC
409,0.65,0.329,4.21,N=CC=O
410,0.809,0.434,4.317,CC(N)CO
411,0.734,0.376,4.232,CC#CCC
412,0.734,0.376,4.232,CC#CCC
413,0.734,0.376,4.232,CC#CCC
414,0.767,0.362,4.029,C#CCC
415,0.641,0.358,4.015,C#CC=C
416,0.641,0.358,4.015,C#CC=C
417,0.819,0.428,4.174,CCC=C(C)C
418,0.618,0.437,4.652,C=CC(C)C#N
419,0.809,0.434,4.317,CC(N)CO
420,0.626,0.338,4.958,N=CCCC(N)O
421,0.746,0.503,4.683,CC=C(C)NC
422,0.746,0.503,4.683,CC=C(C)NC
423,0.746,0.503,4.683,CC=C(C)NC
424,0.742,0.349,4.668,CC(N)(O)CO
425,0.728,0.498,5.113,CCCC(C)(N)O
426,0.742,0.349,4.668,CC(N)(O)CO
427,0.815,0.537,4.184,CCCC(C)O
428,0.809,0.434,4.317,CC(N)CO
429,0.728,0.498,5.113,CCCC(C)(N)O
430,0.737,0.521,4.307,CC(N)CC(C)O
431,0.737,0.521,4.307,CC(N)CC(C)O
432,0.77,0.422,4.253,CC(=N)CO
433,0.792,0.479,4.336,CCCON
434,0.734,0.504,4.449,CCCC(O)NC
435,0.734,0.504,4.449,CCCC(O)NC
436,0.734,0.504,4.449,CCCC(O)NC
437,0.734,0.504,4.449,CCCC(O)NC
438,0.77,0.508,4.481,N=CCCC(=O)O
439,0.56,0.411,4.261,N=C=CCN
440,0.653,0.345,4.353,CC=CC(N)O
441,0.727,0.428,4.625,C=C(CCC)ON
442,0.857,0.406,4.27,NCCO
443,0.857,0.406,4.27,NCCO
444,0.721,0.476,4.75,CC=C(CN)CO
445,0.857,0.406,4.27,NCCO
446,0.641,0.499,4.574,CN=CC(C)CO
447,0.637,0.351,4.594,N=CCC#CCO
448,0.641,0.499,4.574,CN=CC(C)CO
449,0.631,0.466,4.329,CC(C=N)CO
450,0.631,0.466,4.329,CC(C=N)CO
451,0.877,0.475,4.124,C=C(C)C(=O)O
452,0.84,0.382,4.13,CC=C(C)C
453,0.631,0.466,4.329,CC(C=N)CO
454,0.792,0.479,4.336,CCCON
455,0.805,0.556,4.52,COCC(C)CO
456,0.792,0.479,4.336,CCCON
457,0.792,0.479,4.336,CCCON
458,0.792,0.479,4.336,CCCON
459,0.645,0.363,4.183,C#CC#CC
460,0.801,0.501,4.726,CCC=CC(N)=O
461,0.801,0.501,4.726,CCC=CC(N)=O
462,0.645,0.363,4.183,C#CC#CC
463,0.753,0.524,4.471,C=CCC=CCO
464,0.705,0.414,4.481,C=C(O)CC=CC
465,0.746,0.496,4.154,C=CCC(C)O
466,0.636,0.404,4.5,N#CCCC=C=N
