2025-06-04 16:47:59
Parameters:
init_smi: Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
program_name: ZM241385
output_path: .\case4\results
pocket_file: .\case4\ZM241385_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 4000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
157,0.779,0.32,7.972,Cc1cc(OOO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
158,0.705,0.342,8.284,COc1ccc(CC(N)Nc2nc(N)n3nc(-c4cc(N)c(C)o4)nc3n2)cc1C
159,0.666,0.295,7.181,Cc1c(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)c2cc(OO)c1o2
160,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
161,0.601,0.559,8.581,N=C1c2ccc3c(c2)C1N(c1nc(N)n2nc(-c4ccco4)nc2n1)O3
162,0.729,0.159,8.258,Cc1cc(OO)c(N)cc1CCNc1nc(N=N)n2nc(-c3ccco3)nc2n1
163,0.726,0.285,7.836,Cc1cc(OO)ccc1C(O)CNc1nc(N)n2nc(-c3ccco3)nc2n1
164,0.743,0.114,6.599,Cc1c(O)c(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)c(O)c(O)c1OO
165,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
166,0.736,0.221,8.336,NCc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3cc(O)co3)nc2n1
167,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
168,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
169,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
170,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
171,0.751,0.253,8.04,Cc1cc(OO)ccc1CCN(N)c1nc(N)n2nc(-c3ccco3)nc2n1
172,0.626,0.418,7.297,NCN=C(CN1ONc2nc1nc1nc(-c3ccco3)nn21)c1ccc(O)cc1
173,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
